cell_id,tough_label,material,tough_material,generated
175,A1275,RockG,ROCKG,False
176,A1276,RockG,ROCKG,False
177,A1277,RockG,ROCKG,False
178,A1278,RockG,ROCKG,False
179,A1279,RockG,ROCKG,False
180,A1280,RockG,ROCKG,False
181,A1281,RockG,ROCKG,False
182,A1282,RockG,ROCKG,False
183,A1283,RockG,ROCKG,False
184,A1284,RockG,ROCKG,False
185,A1285,RockG,ROCKG,False
186,A1286,RockG,ROCKG,False
187,A1287,RockG,ROCKG,False
188,A1288,RockG,ROCKG,False
189,A1289,RockG,ROCKG,False
190,A1290,RockG,ROCKG,False
191,A1291,RockG,ROCKG,False
192,A1292,RockG,ROCKG,False
193,A1293,RockG,ROCKG,False
194,A1294,RockG,ROCKG,False
195,A1295,RockG,ROCKG,False
196,A1296,RockG,ROCKG,False
197,A1297,RockG,ROCKG,False
198,A1298,RockG,ROCKG,False
199,A1299,RockG,ROCKG,False
200,A13 0,RockG,ROCKG,False
201,A13 1,RockG,ROCKG,False
202,A13 2,RockG,ROCKG,False
203,A13 3,RockG,ROCKG,False
204,A13 4,RockG,ROCKG,False
205,A13 5,RockG,ROCKG,False
206,A13 6,RockG,ROCKG,False
207,A13 7,RockG,ROCKG,False
208,A13 8,RockG,ROCKG,False
209,A13 9,RockG,ROCKG,False
210,A1310,RockG,ROCKG,False
211,A1311,RockG,ROCKG,False
212,A1312,RockG,ROCKG,False
213,A1313,RockG,ROCKG,False
214,A1314,RockG,ROCKG,False
215,A1315,RockG,ROCKG,False
216,A1316,RockG,ROCKG,False
217,A1317,RockG,ROCKG,False
218,A1318,RockG,ROCKG,False
219,A1319,RockG,ROCKG,False
220,A1320,RockG,ROCKG,False
221,A1321,RockG,ROCKG,False
222,A1322,RockG,ROCKG,False
223,A1323,RockG,ROCKG,False
224,A1324,RockG,ROCKG,False
225,A1325,RockG,ROCKG,False
226,A1326,RockG,ROCKG,False
227,A1327,RockG,ROCKG,False
228,A1328,RockG,ROCKG,False
229,A1329,RockG,ROCKG,False
230,A1330,RockG,ROCKG,False
231,A1331,RockG,ROCKG,False
232,A1332,RockG,ROCKG,False
233,A1333,RockG,ROCKG,False
234,A1334,RockG,ROCKG,False
235,A1335,RockG,ROCKG,False
236,A1336,RockG,ROCKG,False
237,A1337,RockG,ROCKG,False
238,A1338,RockG,ROCKG,False
239,A1339,RockG,ROCKG,False
240,A1340,RockG,ROCKG,False
241,A1341,RockG,ROCKG,False
242,A1342,RockG,ROCKG,False
243,A1343,RockG,ROCKG,False
244,A1344,RockG,ROCKG,False
