cell_id,tough_label,material,tough_material,generated
166,A1266,Rocka,ROCKA,False
167,A1267,Rocka,ROCKA,False
168,A1268,Rocka,ROCKA,False
169,A1269,Rocka,ROCKA,False
170,A1270,Rocka,ROCKA,False
171,A1271,Rocka,ROCKA,False
172,A1272,Rocka,ROCKA,False
173,A1273,Rocka,ROCKA,False
174,A1274,Rocka,ROCKA,False
175,A1275,Rocka,ROCKA,False
176,A1276,Rocka,ROCKA,False
177,A1277,Rocka,ROCKA,False
178,A1278,Rocka,ROCKA,False
179,A1279,Rocka,ROCKA,False
180,A1280,Rocka,ROCKA,False
181,A1281,Rocka,ROCKA,False
182,A1282,Rocka,ROCKA,False
183,A1283,Rocka,ROCKA,False
184,A1284,Rocka,ROCKA,False
185,A1285,Rocka,ROCKA,False
186,A1286,Rocka,ROCKA,False
187,A1287,Rocka,ROCKA,False
188,A1288,Rocka,ROCKA,False
189,A1289,Rocka,ROCKA,False
190,A1290,Rocka,ROCKA,False
191,A1291,Rocka,ROCKA,False
192,A1292,Rocka,ROCKA,False
193,A1293,Rocka,ROCKA,False
194,A1294,Rocka,ROCKA,False
195,A1295,Rocka,ROCKA,False
196,A1296,Rocka,ROCKA,False
197,A1297,Rocka,ROCKA,False
198,A1298,Rocka,ROCKA,False
199,A1299,Rocka,ROCKA,False
200,A13 0,Rocka,ROCKA,False
201,A13 1,Rocka,ROCKA,False
202,A13 2,Rocka,ROCKA,False
203,A13 3,Rocka,ROCKA,False
204,A13 4,Rocka,ROCKA,False
205,A13 5,Rocka,ROCKA,False
206,A13 6,Rocka,ROCKA,False
207,A13 7,Rocka,ROCKA,False
208,A13 8,Rocka,ROCKA,False
209,A13 9,Rocka,ROCKA,False
210,A1310,Rocka,ROCKA,False
211,A1311,Rocka,ROCKA,False
212,A1312,Rocka,ROCKA,False
213,A1313,Rocka,ROCKA,False
214,A1314,Rocka,ROCKA,False
215,A1315,Rocka,ROCKA,False
216,A1316,Rocka,ROCKA,False
217,A1317,Rocka,ROCKA,False
218,A1318,Rocka,ROCKA,False
219,A1319,Rocka,ROCKA,False
220,A1320,Rocka,ROCKA,False
221,A1321,Rocka,ROCKA,False
222,A1322,Rocka,ROCKA,False
223,A1323,Rocka,ROCKA,False
224,A1324,Rocka,ROCKA,False
225,A1325,Rocka,ROCKA,False
226,A1326,Rocka,ROCKA,False
227,A1327,Rocka,ROCKA,False
228,A1328,Rocka,ROCKA,False
229,A1329,Rocka,ROCKA,False
230,A1330,Rocka,ROCKA,False
231,A1331,Rocka,ROCKA,False
232,A1332,Rocka,ROCKA,False
233,A1333,Rocka,ROCKA,False
234,A1334,Rocka,ROCKA,False
235,A1335,Rocka,ROCKA,False
236,A1336,Rocka,ROCKA,False
237,A1337,Rocka,ROCKA,False
238,A1338,Rocka,ROCKA,False
239,A1339,Rocka,ROCKA,False
240,A1340,Rocka,ROCKA,False
241,A1341,Rocka,ROCKA,False
242,A1342,Rocka,ROCKA,False
243,A1343,Rocka,ROCKA,False
244,A1344,Rocka,ROCKA,False
245,A1345,Rocka,ROCKA,False
246,A1346,Rocka,ROCKA,False
247,A1347,Rocka,ROCKA,False
248,A1348,Rocka,ROCKA,False
249,A1349,Rocka,ROCKA,False
250,A1350,Rocka,ROCKA,False
251,A1351,Rocka,ROCKA,False
252,A1352,Rocka,ROCKA,False
253,A1353,Rocka,ROCKA,False
254,A1354,Rocka,ROCKA,False
255,A1355,Rocka,ROCKA,False
256,A1356,Rocka,ROCKA,False
257,A1357,Rocka,ROCKA,False
258,A1358,Rocka,ROCKA,False
259,A1359,Rocka,ROCKA,False
260,A1360,Rocka,ROCKA,False
261,A1361,Rocka,ROCKA,False
262,A1362,Rocka,ROCKA,False
263,A1363,Rocka,ROCKA,False
264,A1364,Rocka,ROCKA,False
265,A1365,Rocka,ROCKA,False
266,A1366,Rocka,ROCKA,False
267,A1367,Rocka,ROCKA,False
268,A1368,Rocka,ROCKA,False
269,A1369,Rocka,ROCKA,False
270,A1370,Rocka,ROCKA,False
271,A1371,Rocka,ROCKA,False
272,A1372,Rocka,ROCKA,False
273,A1373,Rocka,ROCKA,False
274,A1374,Rocka,ROCKA,False
275,A1375,Rocka,ROCKA,False
276,A1376,Rocka,ROCKA,False
277,A1377,Rocka,ROCKA,False
278,A1378,Rocka,ROCKA,False
279,A1379,Rocka,ROCKA,False
280,A1380,Rocka,ROCKA,False
281,A1381,Rocka,ROCKA,False
282,A1382,Rocka,ROCKA,False
283,A1383,Rocka,ROCKA,False
284,A1384,Rocka,ROCKA,False
285,A1385,Rocka,ROCKA,False
286,A1386,Rocka,ROCKA,False
287,A1387,Rocka,ROCKA,False
288,A1388,Rocka,ROCKA,False
289,A1389,Rocka,ROCKA,False
290,A1390,Rocka,ROCKA,False
291,A1391,Rocka,ROCKA,False
292,A1392,Rocka,ROCKA,False
293,A1393,Rocka,ROCKA,False
294,A1394,Rocka,ROCKA,False
295,A1395,Rocka,ROCKA,False
296,A1396,Rocka,ROCKA,False
297,A1397,Rocka,ROCKA,False
298,A1398,Rocka,ROCKA,False
299,A1399,Rocka,ROCKA,False
300,A14 0,Rocka,ROCKA,False
301,A14 1,Rocka,ROCKA,False
